 LONGITUDE, LATITUDE, WELL_DEPTH, STATIC_DEPTH
-100.361305,37.805511,41,26
-100.356737,37.801835,46,18
-100.364716,37.799059,50,
-100.349882,37.803679,50,
-100.314746,37.945655,112,37
-100.236625,37.992869,117,80
-100.418954,37.817792,124,21
-100.4189,37.814526,124,30
-100.596218,37.860956,129,10
-100.334697,38.000325,130,75
-100.303247,37.944686,134,60
-100.334746,37.98761,138,80
-100.34535,37.79819,140,22
-100.35446,37.79816,140,15.5
-100.34535,37.79819,140,22
-100.430771,37.816859,140,32
-100.606563,37.849229,142,32
-100.4296,37.81793,143,19
-100.645279,37.867517,145,21.5
-100.339576,37.95859,147,78
-100.301052,37.92752,150,76
-100.337166,37.971273,150,90
-100.59849,37.859157,150,17
-100.325894,37.969386,150,96
-100.307921,37.927575,153,84
-100.255426,37.74074,153,62
-100.542829,37.86678,154,6
-100.237171,37.733434,154,47
-100.320447,37.94661,154,93
-100.562418,37.993543,155,98
-100.255446,37.746202,155,99
-100.448169,37.579433,155,105
-100.310206,37.920408,160,82
-100.298732,37.920345,160,91
-100.58714,37.846368,160,22
-100.291931,37.740827,160,91
-100.411743,37.674313,160,90
-100.42973,37.67613,160,82
-100.47713,37.82866,163,84
-100.463854,37.824369,164,10
-100.365586,37.995598,165,
-100.559757,37.846131,165,13
-100.605374,37.853722,165,24
-100.227126,37.792529,165,73
-100.496427,37.831542,168,27
-100.360727,37.89523,170,107
-100.505523,37.838774,170,12
-100.577954,37.853547,170,11
-100.372674,37.792655,170,29
-100.457278,37.542985,170,124
-100.356733,37.805513,170,50
-100.514557,37.846007,171,
-100.473999,37.823264,171,21
-100.536011,37.841544,174,8
-100.568874,37.846176,174,11
-100.578002,37.846255,175,23
-100.280811,37.790032,175,20
-100.601955,37.718637,175,96
-100.262249,37.497826,175,76
-100.412004,37.493694,175,63
-100.477412,37.8244,175,25
-100.541689,37.846022,176,13
-100.271665,37.789981,176,20
-100.438952,37.522961,176,84
-100.550696,37.846079,177,10
-100.63162,37.854738,177,23
-100.246273,37.733459,178,82
-100.520204,37.84062,178,25
-100.60883,37.85282,178,25
-100.523596,37.846019,180,12
-100.52815,37.84959,180,8
-100.532656,37.846002,180,9
-100.347589,37.790912,180,9
-100.226933,37.732489,180,71
-100.450315,37.522959,180,79
-100.632466,37.731945,180,135
-100.311354,37.800073,180,20
-100.556349,37.857849,180,44
-100.52928,37.848691,180,49
-100.563178,37.845242,180,68
-100.459241,37.815477,183,183
-100.506702,37.850475,184,39
-100.52247,37.839724,185,26
-100.283095,37.79186,185,37.67
-100.350067,37.935953,185,110
-100.293127,37.732644,186,72
-100.631573,37.720255,186,140
-100.517236,37.966051,187,109
-100.567792,37.838083,188,34
-100.511212,37.852298,188,30
-100.497572,37.832451,188,43
-100.549551,37.841585,190,28
-100.651069,37.854016,190,45
-100.365954,37.712777,190,71
-100.346564,37.719141,190,
-100.426436,37.655194,190,115
-100.611028,37.725812,190,128
-100.272533,37.734407,190,124
-100.416563,37.504635,190,155
-100.274824,37.734411,190,136
-100.49987,37.84504,190,28
-100.588211,37.858257,190,30
-100.474,37.82327,190,87
-100.638369,37.871063,190,36
-100.482066,37.761641,190,44
-100.295545,37.789163,192,
-100.457111,37.674184,192,85
-100.478531,37.818806,192,34
-100.279595,37.699932,193,147
-100.449228,37.82329,193,69
-100.613721,37.786631,193,66
-100.631664,37.847638,194,28
-100.409196,37.788996,194,26
-100.486968,37.544844,194,105
-100.445827,37.566673,195,116
-100.540529,37.837984,196,27
-100.641933,37.853941,196,38
-100.473086,37.646842,197,124
-100.264783,37.769916,198,49
-100.333172,37.918724,198,112
-100.564915,37.776745,198,87
-100.538574,37.796131,198,86
-100.35216,37.75814,199,106
-100.473323,37.606752,199,136
-100.328633,37.915091,200,95
-100.549562,37.83085,200,43
-100.355601,37.755437,200,
